Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
-0.2,0,-23.0646,-22.6656,-22.6257,-22.1069,0
-0.18,0,-23.0247,-22.6656,-22.6257,-22.067,0
-0.16,0,-23.0646,-22.6656,-22.5858,-22.0271,0
-0.14,0,-23.0646,-22.7055,-22.5858,-21.9872,0
-0.12,0,-23.0247,-22.7055,-22.5858,-21.9074,0
-0.1,0,-23.0646,-22.6257,-22.5459,-21.9074,0
-0.08,0,-23.0247,-22.5459,-22.506,-21.9074,0
-0.06,0,-22.9848,-22.6257,-22.4262,-21.8675,0
-0.04,0,-22.9449,-22.5858,-22.506,-21.7877,0
-0.02,0,-23.0247,-22.5459,-22.4661,-21.7877,0
0,0,-22.9449,-22.506,-22.4262,-21.7877,0
0.02,0,-23.0247,-22.4661,-22.4262,-21.7079,0
0.04,0,-22.9449,-22.4661,-22.3863,-21.5882,0
0.06,0,-22.9848,-22.4661,-22.3863,-21.5483,0
0.08,0,-22.9449,-22.506,-22.3863,-21.5084,0
0.1,0,-22.905,-22.506,-22.3464,-21.5084,0
0.12,0,-22.9848,-22.4661,-22.3464,-21.5084,0
0.14,0,-22.9449,-22.506,-22.3065,-21.3887,0
0.16,0,-22.905,-22.506,-22.3464,-21.4685,0
0.18,0,-22.9449,-22.506,-22.3065,-21.4685,0
0.2,0,-22.9449,-22.4262,-22.2666,-21.4685,0
0.22,0,-22.905,-22.4262,-22.2267,-21.4685,0
0.24,0,-22.905,-22.3464,-22.2666,-21.4286,0
0.26,0,-22.905,-22.3065,-22.2666,-21.4685,0
0.28,0,-22.8651,-22.3863,-22.2666,-21.4286,0
0.3,0,-22.8252,-22.3464,-22.2666,-21.4286,0
0.32,0,-22.8651,-22.3065,-22.2666,-21.3887,0
0.34,0,-22.8252,-22.4262,-22.2267,-21.3488,0
0.36,0,-22.7853,-22.3863,-22.1468,-21.3488,0
0.38,0,-22.7055,-22.3863,-22.1468,-21.3089,0
0.4,0,-22.6656,-22.3863,-22.067,-21.269,0
0.42,0,-22.6656,-22.3464,-22.0271,-21.2291,0
0.44,0,-22.6656,-22.3464,-22.0271,-21.1891,0
0.46,0,-22.6656,-22.3464,-22.067,-21.1891,0
0.48,0,-22.6656,-22.3464,-22.1069,-21.1492,0
0.5,0,-22.7055,-22.3464,-22.067,-21.0694,0
0.52,0,-22.6656,-22.3464,-22.067,-20.9896,0
0.54,0,-22.6656,-22.2666,-21.9872,-20.9896,0
0.56,0,-22.6656,-22.2666,-21.9074,-20.9497,0
0.58,0,-22.6257,-22.1868,-21.8276,-20.8699,0
0.6,0,-22.5858,-22.1868,-21.8276,-20.83,0
0.62,0,-22.5459,-22.067,-21.8276,-20.7901,0
0.64,0,-22.506,-21.9074,-21.7478,-20.7502,0
0.66,0,-22.4262,-21.8675,-21.668,-20.6704,0
0.68,0,-22.2666,-21.8675,-21.7079,-20.5906,0
0.7,0,-22.1868,-21.8675,-21.668,-20.5108,0
0.72,0,-22.0271,-21.7877,-21.5483,-20.3911,0
0.74,0,-21.9473,-21.7079,-21.4286,-20.3512,0
0.76,0,-21.7478,-21.668,-21.3089,-20.2314,0
0.78,0,-21.5882,-21.5483,-21.269,-20.1117,0
0.8,0,-21.4286,-21.5483,-21.1093,-19.9521,0
0.82,0,-21.1891,-21.3887,-21.0295,-19.7526,0
0.84,0,-20.9497,-21.2291,-20.8699,-19.5132,0
0.86,0,-20.6305,-20.9896,-20.6704,-19.1939,0
0.88,0,-20.3113,-20.7502,-20.3911,-18.8348,0
0.9,0,-19.8324,-20.3911,-20.0718,-18.316,0
0.92,0,-19.2338,-19.9521,-19.6329,-17.7175,0
0.94,0,-18.5156,-19.3536,-18.9146,-16.8795,0
0.96,0,-17.5579,-18.4757,-18.0367,-15.7223,0
0.98,0,-16.2809,-17.3184,-16.7997,-14.166,0
1,0,-14.7247,-15.7223,-15.0439,-12.0511,0
