Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
-0.2,0,-21.3488,-21.5084,-22.506,-22.4661,0
-0.18,0,-21.2291,-21.4286,-22.4661,-22.4262,0
-0.16,0,-21.1093,-21.4286,-22.4262,-22.506,0
-0.14,0,-20.9896,-21.3089,-22.4262,-22.4661,0
-0.12,0,-20.9098,-21.269,-22.3464,-22.5459,0
-0.1,0,-20.7901,-21.1093,-22.3065,-22.506,0
-0.08,0,-20.7103,-21.0295,-22.2267,-22.5459,0
-0.06,0,-20.6305,-20.9896,-22.2267,-22.506,0
-0.04,0,-20.5108,-20.8699,-22.1868,-22.4661,0
-0.02,0,-20.431,-20.83,-22.1069,-22.506,0
0,0,-20.3113,-20.7901,-22.0271,-22.4661,0
0.02,0,-20.1915,-20.83,-21.9872,-22.4661,0
0.04,0,-20.0718,-20.7502,-21.8675,-22.506,0
0.06,0,-20.0319,-20.7502,-21.8276,-22.4661,0
0.08,0,-19.9122,-20.7103,-21.9074,-22.4661,0
0.1,0,-19.7925,-20.7103,-21.9074,-22.4262,0
0.12,0,-19.7127,-20.6704,-21.7877,-22.3863,0
0.14,0,-19.6728,-20.6305,-21.668,-22.3464,0
0.16,0,-19.5531,-20.6305,-21.668,-22.3065,0
0.18,0,-19.5132,-20.6305,-21.668,-22.2267,0
0.2,0,-19.3935,-20.5906,-21.668,-22.2666,0
0.22,0,-19.2737,-20.5507,-21.6281,-22.2666,0
0.24,0,-19.1939,-20.5108,-21.6281,-22.2666,0
0.26,0,-19.0742,-20.431,-21.6281,-22.3065,0
0.28,0,-18.9545,-20.431,-21.5882,-22.3065,0
0.3,0,-18.8747,-20.3911,-21.5483,-22.2267,0
0.32,0,-18.755,-20.3512,-21.4685,-22.1868,0
0.34,0,-18.5954,-20.3512,-21.4685,-22.2666,0
0.36,0,-18.4757,-20.3113,-21.3887,-22.2267,0
0.38,0,-18.316,-20.2713,-21.269,-22.1868,0
0.4,0,-18.2362,-20.2314,-21.2291,-22.1468,0
0.42,0,-18.0766,-20.1915,-21.1891,-22.1069,0
0.44,0,-17.9968,-20.1117,-21.1492,-22.067,0
0.46,0,-17.7973,-20.0718,-21.0694,-22.0271,0
0.48,0,-17.7175,-19.992,-20.9896,-22.0271,0
0.5,0,-17.5978,-19.9521,-20.9098,-22.0271,0
0.52,0,-17.4381,-19.8723,-20.8699,-22.0271,0
0.54,0,-17.2785,-19.8324,-20.7901,-21.9872,0
0.56,0,-17.1189,-19.7526,-20.7103,-21.9074,0
0.58,0,-16.9593,-19.7127,-20.6704,-21.8675,0
0.6,0,-16.7598,-19.6329,-20.5906,-21.7877,0
0.62,0,-16.5603,-19.5132,-20.4709,-21.668,0
0.64,0,-16.4006,-19.4334,-20.3911,-21.668,0
0.66,0,-16.2011,-19.2737,-20.3113,-21.5882,0
0.68,0,-16.0016,-19.2338,-20.2713,-21.4685,0
0.7,0,-15.7223,-19.0742,-20.1516,-21.3488,0
0.72,0,-15.403,-18.9146,-19.992,-21.269,0
0.74,0,-15.004,-18.7151,-19.9122,-21.1891,0
0.76,0,-14.4852,-18.5156,-19.6728,-21.0295,0
0.78,0,-13.8468,-18.2362,-19.5132,-20.8699,0
0.8,0,-13.0487,-17.917,-19.3136,-20.6704,0
0.82,0,-12.2107,-17.5579,-19.0343,-20.431,0
0.84,0,-11.0535,-17.1189,-18.755,-20.1516,0
0.86,0,-9.65682,-16.6002,-18.4358,-19.7925,0
0.88,0,-8.06065,-15.8819,-17.9569,-19.3935,0
0.9,0,-6.18516,-15.1636,-17.3982,-18.8747,0
0.92,0,-3.95052,-14.1261,-16.68,-18.2761,0
