Bias,J(pixel 1),J(pixel 2),J(pixel 3),J(pixel 4),J(pixel 5),J(pixel 6)
V,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2,mA/cm^2
-0.2,0,-22.5858,-22.5459,-22.3464,-21.7877,0
-0.18,0,-22.506,-22.506,-22.2267,-21.7478,0
-0.16,0,-22.506,-22.5459,-22.1468,-21.668,0
-0.14,0,-22.4262,-22.5858,-22.1468,-21.668,0
-0.12,0,-22.4262,-22.4262,-22.067,-21.6281,0
-0.1,0,-22.4661,-22.4262,-22.0271,-21.668,0
-0.08,0,-22.506,-22.3863,-21.9473,-21.5882,0
-0.06,0,-22.3863,-22.3863,-21.9473,-21.5084,0
-0.04,0,-22.3464,-22.3065,-21.9872,-21.4286,0
-0.02,0,-22.2666,-22.3065,-21.9872,-21.3887,0
0,0,-22.2267,-22.2666,-21.9872,-21.3887,0
0.02,0,-22.1069,-22.1468,-21.9872,-21.4286,0
0.04,0,-22.2666,-22.067,-21.9473,-21.4286,0
0.06,0,-22.3065,-22.1868,-21.9872,-21.4286,0
0.08,0,-22.2666,-22.1468,-21.9872,-21.4685,0
0.1,0,-22.3464,-22.1868,-21.9473,-21.3887,0
0.12,0,-22.3863,-22.1868,-21.9074,-21.3887,0
0.14,0,-22.4262,-22.2267,-21.8675,-21.3089,0
0.16,0,-22.3863,-22.1868,-21.8276,-21.3089,0
0.18,0,-22.3464,-22.1868,-21.8675,-21.3488,0
0.2,0,-22.3863,-22.1468,-21.8675,-21.3488,0
0.22,0,-22.3464,-22.1069,-21.8276,-21.3488,0
0.24,0,-22.3065,-22.1069,-21.7478,-21.269,0
0.26,0,-22.3863,-21.9872,-21.7478,-21.2291,0
0.28,0,-22.2267,-21.9872,-21.7079,-21.2291,0
0.3,0,-22.1868,-21.9872,-21.668,-21.2291,0
0.32,0,-22.1868,-21.9872,-21.5882,-21.1891,0
0.34,0,-22.1868,-21.9074,-21.5882,-21.1093,0
0.36,0,-22.1868,-21.9074,-21.5483,-21.0694,0
0.38,0,-22.1868,-21.8675,-21.5084,-21.0694,0
0.4,0,-22.1069,-21.8675,-21.3887,-20.9896,0
0.42,0,-22.1069,-21.8675,-21.3488,-20.83,0
0.44,0,-22.067,-21.8675,-21.2291,-20.7901,0
0.46,0,-22.0271,-21.7877,-21.1093,-20.7502,0
0.48,0,-21.9872,-21.7079,-21.0694,-20.6704,0
0.5,0,-22.0271,-21.668,-20.9098,-20.6305,0
0.52,0,-21.9473,-21.5483,-20.83,-20.5906,0
0.54,0,-21.9473,-21.5084,-20.7502,-20.4709,0
0.56,0,-21.8276,-21.4286,-20.6305,-20.3512,0
0.58,0,-21.7877,-21.3089,-20.4709,-20.2314,0
0.6,0,-21.7478,-21.1891,-20.3512,-20.1516,0
0.62,0,-21.668,-21.1093,-20.1915,-19.9521,0
0.64,0,-21.5483,-20.9896,-20.0319,-19.8324,0
